,Name,Cluster,Distance
49,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_159.png,2,2787.41
50,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_75.png,0,5768.11
51,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_239.png,11,2214.21
52,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_231.png,8,4781.88
53,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_217.png,5,2249.83
54,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_91.png,10,4066.55
55,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_226.png,11,2622.69
56,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_297.png,11,1878.68
57,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_103.png,9,4132.3
58,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_90.png,8,2081.54
59,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_67.png,5,4535.73
60,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_230.png,5,3472.32
61,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_61.png,8,1492.83
62,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_43.png,5,3607.08
63,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_133.png,6,4175.95
64,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_111.png,8,3478.84
65,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_71.png,5,1737.84
66,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_258.png,5,2031.32
67,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_118.png,8,3130.17
68,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_164.png,11,2033.94
69,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_72.png,8,4647.9
70,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_219.png,11,2585.19
71,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_188.png,0,7756.39
72,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_200.png,9,2962.49
73,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_83.png,9,2216.25
74,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_155.png,10,1894.61
75,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_12.png,5,2954.24
76,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_5.png,5,3542.22
77,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_19.png,8,9770.41
78,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_25.png,3,11189.48
79,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_15.png,8,5696.81
80,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_234.png,5,2199.29
81,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_296.png,11,2705.94
82,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_221.png,11,1389.07
83,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_213.png,10,4460.42
84,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_254.png,10,2822.03
85,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_271.png,8,2413.4
86,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_96.png,0,2192.25
87,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_173.png,0,4443.82
88,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_307.png,8,3704.11
89,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_206.png,11,4767.73
90,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_218.png,9,1997.94
